"School name","Cases among staff and students"
"FISHBURN AVE EL",0
"FLEMING MS",2
"FLETCHER DR EL",0
"FLORENCE AVE EL",0
"FLOURNOY EL",1
"FORD BLVD EL",3
"FOSHAY LC",7
"FRANKLIN AVE EL",2
"FRANKLIN HS",3
"FREMONT SH",2
"FRIEDMAN OCC CTR",0
"FRIES AVE EL",1
"FROST MS",4
"FULLBRIGHT AVE EL",4
"FULTON COLLEGE PREP",3
"GAGE MS",2
"GAL KING SCH FOR STEM",0
"GARCETTI LA",2
"GARDEN GROVE EL",0
"GARDENA EEC",0
"GARDENA EL",1
"GARDENA SH",5
"GARDNER ST EL",0
"GARFIELD SH",4
"GARVANZA EL T/L MAG",1
"GARZA PC",0
"GATES ST EEC",0
"GATES ST EL",1
"GAULT ST EL",3
"GERMAIN ACAD AA",5
"GLASSELL PARK EEC",0
"GLASSELL PK STEAM MAG",0
"GLEDHILL ST EEC",0
"GLEDHILL ST EL",3
"GLEN ALTA EL",0
"GLENFELIZ BLVD EEC",0
"GLENFELIZ BLVD EL",1
"GLENWOOD EL",3
"GOMPERS MS",0
"GOMPERS MS UP MED MAG",1
"GRAHAM EEC",0
"GRAHAM EL",3
"GRANADA EL",0
"GRAND VW BL EL",3
"GRANT EEC",0
"GRANT EL",0
"GRANT SH",5
"GRAPE ST EL",1
"GRATTS EEC",0
"GRATTS LA FOR YS",0
"GREY HS",0
"GRIDLEY ST EL",0
"GRIFFIN AVE EL",0
"GRIFFITH JOYNER EL",3
"GRIFFITH MS STEAM MG",1
"GULF AVE EL",7
"HADDON AVE EEC",0
"HADDON AVE EL",2
"HALE CA",2
"HALLDALE EL",3
"HAMASAKI MED/SCI MAG",1
"HAMILTON SH",3
"HAMLIN CA",0
"HANCOCK PARK EL",0
"HARBOR CITY EL",2
"HARBOR OCC CTR",1
"HARDING ST EL",1
"HARMONY EL",0
"HARRISON ST EL",2
"HART ST EL",1
"HARTE PREP MS",1
"HARVARD EL",1
"HASKELL EL STEAM MAG",1
"HAWAIIAN AVE EEC",1
"HAWAIIAN AVE EL",5
"HAWKINS SH C/DAGS",3
"HAYNES CES",1
"HAZELTINE AVE EL",3
"HELIOTROPE AVE EL",2
"HENRY MS",2
"HERRICK AVE EL",1
"HESBY OAKS LEAD CHTR",0
"HIGHLAND PARK HS",0
"HILLCREST DR EL",1
"HILLSIDE EL",0
"HOBART BLVD EEC",0
"HOBART BLVD EL",2
"HOLLENBECK MS",0
"HOLLYWOOD EL",0
"HOLLYWOOD SH",4
"HOLMES AVE EEC",1
"HOLMES AVE EL",0
"HOLMES MS",6
"HOOPER AVE EEC",0
"HOOPER AVE EL",2
"HOOPER AVE PC",1
"HOOVER ST EL",0
"HOPE HS",1
"HOPE ST EL",2
"HUBBARD ST EL",4
"HUERTA EL",0
"HUGHES EL",1
"HUMPHREYS AVE EL",0
"HUNTINGTON DR EL",2
"HUNTNGTN PK EL",1
"HUNTNGTN PK SH",0
"HYDE PARK EEC",2
"INDEPENDENCE EL",4
"INDEPENDENCE HS",0
"INTERNATIONAL ST LC",1
"IRVING MS MME MAG",1
"ISAACS AVALON HS",0
"IVANHOE EL",1
"JEFFERSON SH",0
"JOHNSON STEM ACADEMY",0
"JONES EL",0
"JONES PC",2
"JORDAN SH",0
"JUSTICE ST ACAD CHTR",2
"KAHLO HS",1
"KENNEDY EL",1
"KENNEDY SH",4
"KENTER CANYON EC",1
"KENTWOOD EEC",0
"KENTWOOD EL",0
"KESTER AVE EL",2
"KIM ACADEMY",2
"KIM EL",0
"KING JR EL",0
"KING MS MAG FLM/MDIA",5
"KING-DREW SH MD/S MG",3
"KINGSLEY EL",2
"KITTRIDGE ST EL",4
"KNOLLWOOD PREP ACAD",3
"KNOX EL",4
"KORENSTEIN EL",1
"LA SALLE AVE EL",1
"LACES MAG",1
"LAFAYETTE PARK PC",1
"LAKE BALBOA CP K-12",2
"LAKE ST PRIMARY",0
"LANAI RD EL",0
"LANE EL",1
"LANGDON AVE EL",1
"LANKERSHIM EL",2
"LASSEN EL",3
"LATONA AVE EL",0
"LAUREL CACT MAG",0
"LAUREL EEC",0
"LAWRENCE MS",3
"LAWSON ACAD A/M/S EL",0
"LE CONTE MS",1
"LEAPWOOD EL",2
"LEE EL MED HLTH MAG",2
"LEGACY SH STEAM",4
"LEGACY SH VAPA",1
"LEICHMAN CPTC",0
"LELAND ST EL",3
"LEMAY ST EEC",0
"LEMAY ST EL",1
"LEWIS HS",0
"LEXINGTON AVE PC",1
"LIBERTY BLVD EL",1
"LIECHTY MS",0
"LIGGETT ST EL",1
"LILLIAN ST EL",1
"LIMERICK AVE EL",0
"LINCOLN SH",2
"LIZARRAGA EL",0
"LOCKE EEC",1
"LOCKE INFANT",0
"LOCKHURST DR CEL",1
"LOCKWOOD AVE EL",3
"LOGAN ACADEMY",0
"LOGAN ST EEC",0
"LOKRANTZ SP ED CTR",0
"LOMA VISTA EL",1
"LOMITA EL M/S/T MAG",3
"LONDON HS",0
"LORENA ST EL",0
"LORETO ST EL",1
"LORNE ST EL",0
"LOS ANGELES ACAD MS",1
"LOS ANGELES EL",1
"LOS ANGELES SH",1
"LOS ANGELES TECH CTR",1
"LOS FELIZ STEMM MAG",2
"LOWMAN SP ED & CTC",0
"LOYOLA VILLG EL F/PAM",0
"MACARTHUR PK EL VAPA",2
"MACES MAG",1
"MACK EL",0
"MACLAY MS",1
"MADISON EL",1
"MADISON MS",3
"MAGNOLIA AVE EL",2
"MAGNOLIA SCI ACAD #2",0
"MAGNOLIA SCI ACAD #4",0
"MAGNOLIA SCI ACAD #6",0
"MAGNOLIA SCI-BELL@SR",1
"MAIN ST EL",2
"MALABAR ST EL",2
"MANCHESTER AVE EL",5
"MANHATTAN PLACE EL",0
"MANN UCLA COMM SCH",0
"MANUAL ARTS SH",3
"MAPLE PC",0
"MAR VISTA EL",0
"MARIANNA AVE EL",0
"MARINA DEL REY MS",5
"MARINA EEC",0
