"School name","Cases from school-based transmission"
"CHASE STREET EARLY ED CENTER",0
"CHASE STREET ELEMENTARY",0
"CHATSWORTH CHARTER HIGH SCHOOL",0
"CHATSWORTH PARK ELEMENTARY UP/CD MAGNET",0
"CHEREMOYA AVENUE ELEMENTARY",0
"CHESTER W NIMITZ MIDDLE SCHOOL",0
"CHEVIOT HILLS CONTINUATION HIGH",0
"CHRISTA MCAULIFFE EARLY EDUCATION CENTER",0
"CHRISTOPHER COLUMBUS MIDDLE SCHOOL",0
"CHRISTOPHER DENA ELEMENTARY",0
"CIENEGA ELEMENTARY",0
"CIMARRON AVENUE ELEMENTARY",0
"CITY OF ANGELS VIRTUAL ACADEMY 3",0
"CITY TERRACE ELEMENTARY",0
"CLEVELAND EARLY EDUCATION CENTER",0
"CLEVELAND INFANT CENTER",0
"CLIFFORD STREET MATH & TECHNOLOGY MAGNET",0
"CLOVER AVENUE ELEMENTARY",0
"COEUR D ALENE AVENUE ELEMENTARY",0
"COHASSET STREET ELEMENTARY",0
"COLDWATER CANYON ELEMENTARY",0
"COLFAX CHARTER ELEMENTARY",0
"COLISEUM STREET ELEMENTARY",0
"COLUMBUS AVENUE ELEMENTARY",0
"COMMONWEALTH AVENUE ELEMENTARY",0
"COMMUNITY ELEMENTARY MAGNET CHARTER SCHOOL",0
"COMPTON AVENUE ELEMENTARY",0
"CORONA AVENUE ELEMENTARY",0
"COWAN AVENUE ELEMENTARY",0
"CRENSHAW MAGNETS: SCIENCE TECH ENGINEER MATH & MEDICINE",0
"CRESCENT HEIGHTS BOULEVARD EARLY EDUCATION CENTER",0
"CRESCENT HEIGHTS BOULEVARD ELEMENTARY LANG ARTS/SOC JSTC MAG",0
"CRESTWOOD STREET ELEMENTARY STEAM MAGNET",0
"CTC - WEST",0
"DACOTAH EARLY EDUCATION CENTER",0
"DAHLIA HEIGHTS ELEMENTARY",0
"DAN M ISAACS AVALON HIGH SCHOOL",0
"DANIEL PEARL SENIOR HIGH JOURNALISM & COMMUNICATIONS MAGNET",0
"DANIEL WEBSTER MIDDLE SCHOOL",0
"DANNY J BAKEWELL SR PRIMARY CENTER",0
"DANUBE AVENUE ELEMENTARY",0
"DARBY AVENUE ELEMENTARY",0
"DAVID STARR JORDAN SENIOR HIGH",0
"DAYTON EARLY EDUCATION CENTER",0
"DAYTON HEIGHTS ELEMENTARY",0
"DEARBORN ELEMENTARY CHARTER ACADEMY",0
