date,location,region,population,cases,casechange,caserate,deaths,deathrate
2022-04-29,Los Angeles - Hancock Park,MLA,17039,3447,3447,20230,11,65
2022-04-29,Los Angeles - Harbor City,SB,29071,7079,7079,24352,49,169
2022-04-29,Los Angeles - Harbor Gateway,SB,43600,12221,12221,28030,101,232
2022-04-29,Los Angeles - Harbor Pines,SB,2409,460,460,19095,3,125
2022-04-29,Los Angeles - Harvard Heights,MLA,18035,5177,5177,28705,80,444
2022-04-29,Los Angeles - Harvard Park,S,37935,15022,15022,39599,128,337
2022-04-29,Los Angeles - Highland Park,MLA,48391,13120,13120,27112,138,285
2022-04-29,Los Angeles - Historic Filipinotown,MLA,13870,4299,4299,30995,91,656
2022-04-29,Los Angeles - Hollywood Hills,MLA,29435,5383,5383,18288,30,102
2022-04-29,Los Angeles - Hollywood,MLA,68254,16286,16286,23861,114,167
2022-04-29,Los Angeles - Hyde Park,S,28541,9282,9282,32522,113,396
2022-04-29,Los Angeles - Jefferson Park,S,8073,2519,2519,31203,21,260
2022-04-29,Los Angeles - Koreatown,MLA,51692,13069,13069,25282,148,286
2022-04-29,Los Angeles - Lafayette Square,MLA,4559,1253,1253,27484,11,241
2022-04-29,Los Angeles - Lake Balboa,SFV,42206,12341,12341,29240,89,211
2022-04-29,Los Angeles - Lakeview Terrace,SFV,13133,4624,4624,35209,47,358
2022-04-29,Los Angeles - Leimert Park,S,15235,4308,4308,28277,32,210
2022-04-29,Los Angeles - Lincoln Heights,MLA,32597,10155,10155,31153,213,653
2022-04-29,Los Angeles - Little Armenia,MLA,8025,2448,2448,30505,113,1408
2022-04-29,Los Angeles - Little Bangladesh,MLA,28343,6902,6902,24352,39,138
2022-04-29,Los Angeles - Little Tokyo,MLA,3133,1108,1108,35365,14,447
2022-04-29,Los Angeles - Longwood,MLA,4304,1353,1353,31436,14,325
2022-04-29,Los Angeles - Los Feliz,MLA,21608,3925,3925,18165,35,162
2022-04-29,Los Angeles - Manchester Square,SB,8536,2408,2408,28210,22,258
2022-04-29,Los Angeles - Mandeville Canyon,W,3124,534,534,17093,1,32
2022-04-29,Los Angeles - Mar Vista,W,42471,7480,7480,17612,46,108
2022-04-29,Los Angeles - Marina Peninsula,W,4360,684,684,15688,5,115
2022-04-29,Los Angeles - Melrose,MLA,77696,20333,20333,26170,258,332
2022-04-29,Los Angeles - Mid-city,MLA,15030,3492,3492,23234,53,353
2022-04-29,Los Angeles - Miracle Mile,MLA,17985,3520,3520,19572,22,122
2022-04-29,Los Angeles - Mission Hills,SFV,24124,9461,9461,39218,153,634
2022-04-29,Los Angeles - Mt. Washington,MLA,24145,6426,6426,26614,74,306
2022-04-29,Los Angeles - North Hills,SFV,61576,20123,20123,32680,188,305
2022-04-29,Los Angeles - North Hollywood,SFV,151422,46588,46588,30767,479,316
2022-04-29,Los Angeles - Northridge,SFV,69796,19277,19277,27619,216,309
2022-04-29,Los Angeles - Pacific Palisades,W,21291,3445,3445,16181,17,80
2022-04-29,Los Angeles - Pacoima,SFV,76979,32163,32163,41782,285,370
2022-04-29,Los Angeles - Palisades Highlands,W,3846,631,631,16407,2,52
2022-04-29,Los Angeles - Palms,W,43877,8186,8186,18657,78,178
2022-04-29,Los Angeles - Panorama City,SFV,75251,27161,27161,36094,330,439
2022-04-29,Los Angeles - Park La Brea,MLA,13580,2295,2295,16900,3,22
2022-04-29,Los Angeles - Pico-Union,MLA,41842,13916,13916,33258,282,674
2022-04-29,Los Angeles - Playa Del Rey,W,3196,420,420,13141,4,125
2022-04-29,Los Angeles - Playa Vista,W,10947,2326,2326,21248,14,128
2022-04-29,Los Angeles - Porter Ranch,SFV,35589,7345,7345,20639,61,171
2022-04-29,Los Angeles - Rancho Park,W,6560,1475,1475,22485,2,30
2022-04-29,Los Angeles - Regent Square,W,2780,651,651,23417,4,144
2022-04-29,Los Angeles - Reseda Ranch,SFV,4636,1417,1417,30565,6,129
2022-04-29,Los Angeles - Reseda,SFV,76617,24780,24780,32343,367,479
2022-04-29,Los Angeles - Reynier Village,W,4228,873,873,20648,3,71
2022-04-29,Los Angeles - San Pedro,SB,78039,19781,19781,25348,177,227
2022-04-29,Los Angeles - Shadow Hills,SFV,4442,985,985,22175,8,180
2022-04-29,Los Angeles - Sherman Oaks,SFV,87253,19208,19208,22014,152,174
2022-04-29,Los Angeles - Silverlake,MLA,44083,9806,9806,22244,145,329
