School name,Community,Community of Schools,Cases among students and staff
"HENRY MS","Granada Hills/Northridge Community","Kennedy/NAHS/VAAS Community of Schools",0
"HENRY MS COMP/M/S MAG","","",3
"HENRY MS VAPA MAG","","",2
"HERRICK AVE EL","San Fernando Valley/Sylmar Community","San Fernando Valley/Sylmar Community of Schools",0
"HESBY OAKS LEAD CHTR","Reseda Community","Reseda Community of Schools",0
"HIGHLAND PARK HS","Eagle Rock/Highland Park Community","Eagle Rock/Highland Park Community of Schools",0
"HILLCREST DR EL","South Mid-City Community","South Mid-City Community of Schools",1
"HILLCREST DR EL DTS","","",0
"HILLCREST EL MUS MAG","","",0
"HILLSIDE EL","Lincoln Heights/El Sereno Community","Lincoln Heights/El Sereno Community of Schools",0
"HOBART BLVD DTS","Koreatown/Pico Union Community","Kreatwn/PcoUnion Community of Schools",0
"HOBART BLVD EEC","","",0
"HOBART BLVD EL","","",1
"HOLLENBECK MS","Boyle Heights Community","Boyle Heights Community of Schools",0
"HOLLENBECK MS L/PS MG","","",0
"HOLLENBECK STEMM MAG","","",0
"HOLLYWOOD CAS AC2T"," Community"," Community of Schools",0
"HOLLYWOOD EL","Hollywood Community","Hollywood Community of Schools",0
"HOLLYWOOD SH","","",3
"HOLLYWOOD SH NM MAG","","",1
"HOLLYWOOD SH PA MAG","","",2
"HOLMES AVE EEC","Huntington Park/Vernon Community","Huntington Park/Vernon Community of Schools",1
"HOLMES AVE EL","","",0
"HOLMES MS","North Hills/Panorama City Community","Monroe Community of Schools",6
"HOLMES MS INT HMN MAG","","",1
"HOOPER AVE CSPP","Jefferson/South Central (East) Community","Historic Central Avenue Community of Schools",0
"HOOPER AVE EEC","","",0
"HOOPER AVE EL","","",4
"HOOPER AVE EL DTS","","",0
"HOOPER AVE PC","","",0
"HOOPER AVE PC DTS","","",0
"HOOVER ST EL","Koreatown/Pico Union Community","Kreatwn/PcoUnion Community of Schools",0
"HOPE HS","South Los Angeles/Watts Community","Fremont Community of Schools",0
