date,region,caserate
2021-08-29,"Monroe Community of Schools",52.9134910836126
2021-08-29,"Cleveland Community of Schools",54.662187680136753
2021-08-29,"Sunland/Tujunga Community of Schools",46.719269102990033
2021-08-29,"Sun Valley Community of Schools",36.694096154146436
2021-08-29,"Hamilton Community of Schools",29.191398267977036
2021-08-29,"Hollywood Community of Schools",43.308144918013205
2021-08-29,"Wilmington Community of Schools",47.598706291572583
2021-08-29,"Venice Community of Schools",22.389452080353259
2021-08-29,"Bell/Cudahy/Maywood Community of Schools",32.228143816126654
2021-08-29,"North Hollywood/Valley Village Community of Schools",45.912060745188064
2021-08-29,"Kreatwn/PcoUnion Community of Schools",24.566088117489986
2021-08-29,"West LA Community of Schools",38.355323718932191
2021-08-29,"San Fernando Valley/Sylmar Community of Schools",40.492011125346
2021-08-29,"South Gate Community of Schools",40.389153032375091
2021-08-29,"Panorama City Community of Schools",32.740368874822657
2021-08-29,"Taft Community of Schools",44.173513561268656
2021-08-29,"Van Nuys/Valley Glen Community of Schools",33.416875522138682
2021-08-29,"Harbor City/Lomita Community of Schools",53.6947814477274
2021-08-29,"Westchester Community of Schools",61.264271790587586
2021-08-29,"Huntington Park/Vernon Community of Schools",27.514215678100353
2021-08-30,"Fremont Community of Schools",45.709061821506111
2021-08-30,"Achievement Network Community of Schools",35.438077171624521
2021-08-30,"MacArthur Park Community of Schools",36.909843694835835
2021-08-30,"Gardena Community of Schools",29.176848170976331
2021-08-30,"San Pedro Community of Schools",34.321246870709842
2021-08-30,"Boyle Heights Community of Schools",27.433448486080064
2021-08-30,"Jefferson/South Central (West) Community of Schools",36.05682555707795
2021-08-30,"Carson Community of Schools",42.198647680546422
2021-08-30,"Manual Arts/Vermont Square Community of Schools",29.903274408547734
2021-08-30,"LA Mid-City Community of Schools",30.3951367781155
2021-08-30,"Fairfax Community of Schools",11.485744914367391
2021-08-30,"H.E.E.T. (C/D) Community of Schools",36.166365280289334
2021-08-30,"Historic Central Avenue Community of Schools",31.049150805725464
2021-08-30,"East Los Angeles Community of Schools",23.181686467690525
2021-08-30,"South Mid-City Community of Schools",38.85507058671157
2021-08-30,"Rivera Community of Schools",33.842623546211691
2021-08-30,"H.E.E.T. (W) Community of Schools",25.118743149433687
2021-08-30,"Reseda Community of Schools",24.223339187306973
2021-08-30,"Kennedy/NAHS/VAAS Community of Schools",43.958416880032082
2021-08-30,"Canoga Park/Chatsworth Community of Schools",31.957390146471372
2021-08-30,"Lincoln Heights/El Sereno Community of Schools",18.610672816280292
2021-08-30,"Eagle Rock/Highland Park Community of Schools",22.074811536296512
2021-08-30,"Downtown Community of Schools",12.102807851421529
2021-08-30,"Glassell Park/Los Feliz Community of Schools",26.760292008306397
2021-08-30,"Monroe Community of Schools",37.132274444640423
2021-08-30,"Cleveland Community of Schools",40.7481762706474
2021-08-30,"Sunland/Tujunga Community of Schools",41.528239202657808
2021-08-30,"Sun Valley Community of Schools",33.571194353793544
2021-08-30,"Hamilton Community of Schools",23.642634623943035
2021-08-30,"Hollywood Community of Schools",38.832051377791053
2021-08-30,"Wilmington Community of Schools",39.05201239901394
2021-08-30,"Venice Community of Schools",17.444395987788923
2021-08-30,"Bell/Cudahy/Maywood Community of Schools",25.15367322234275
2021-08-30,"North Hollywood/Valley Village Community of Schools",45.912060745188064
2021-08-30,"Kreatwn/PcoUnion Community of Schools",25.634178905206941
2021-08-30,"West LA Community of Schools",29.581584915582919
2021-08-30,"San Fernando Valley/Sylmar Community of Schools",35.181583436776037
2021-08-30,"South Gate Community of Schools",32.596371882086167
2021-08-30,"Panorama City Community of Schools",26.507000966725919
2021-08-30,"Taft Community of Schools",33.732501264968796
2021-08-30,"Van Nuys/Valley Glen Community of Schools",27.633185527922368
2021-08-30,"Harbor City/Lomita Community of Schools",46.443447845459431
2021-08-30,"Westchester Community of Schools",52.910052910052912
